Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,"[0.9576615905761718, 0.8015058928355575, 0.7245956007391214, 0.671027761604637]","[0.659375, 0.71203125, 0.7403645833333333, 0.7587109375]","[0.457792192697525, 0.4549540579319, 0.5913909872372946, 0.557863213121891, 0.6238468587398529, 0.612801139553388, 0.6019651506628309, 0.6060157231986523, 0.6068087650669945, 0.5756328850984573, 0.5758778100663965, 0.5755407636364301, 0.5917073694559244, 0.5797969805342811, 0.580651460091273, 0.5840840544551611, 0.5850798540255603, 0.5925376266241074, 0.5944326472909827, 0.5976344391703605, 0.5926036465735662, 0.601476403799924, 0.6023545006047124, 0.6025403464833895, 0.5953100931644439, 0.5891563250468328, 0.5883310194368716, 0.593495324254036, 0.5878189761063148, 0.5843089908361435, 0.5775635655849211, 0.5742395343258977, 0.5691427534276788, 0.5796041997040019, 0.5815165724073138, 0.586220352186097, 0.5857175475842243, 0.5869942966260409, 0.5929396886091965, 0.5920218616724015, 0.5892021663305236, 0.5864453549895968, 0.5848342062428941, 0.5959555608305064, 0.5941338333818648, 0.5949680824642596, 0.5952515050451807, 0.5954004184653362, 0.5919119356846323, 0.5955391317605973, 0.5931926428102979, 0.5942843476167092, 0.5907645984640661, 0.5881656700814212, 0.586011453108354, 0.5903360322117805, 0.59300255461743, 0.590390717674946, 0.5906956453444594, 0.5935677235325177, 0.5925666088940668, 0.5911321029547723, 0.59161752793524, 0.5938734482042491, 0.589015355018469]","[0.84375, 0.875, 0.8333333333333334, 0.8125, 0.78125, 0.78125, 0.7857142857142857, 0.77734375, 0.7743055555555556, 0.784375, 0.7840909090909091, 0.7864583333333334, 0.7764423076923077, 0.7790178571428571, 0.7770833333333333, 0.775390625, 0.7720588235294118, 0.7725694444444444, 0.7730263157894737, 0.771875, 0.7738095238095238, 0.7713068181818182, 0.7703804347826086, 0.7682291666666666, 0.77, 0.7740384615384616, 0.7731481481481481, 0.7700892857142857, 0.7704741379310345, 0.7697916666666667, 0.7741935483870968, 0.7763671875, 0.7765151515151515, 0.7757352941176471, 0.7741071428571429, 0.7743055555555556, 0.7736486486486487, 0.7730263157894737, 0.7716346153846154, 0.771875, 0.7728658536585366, 0.7730654761904762, 0.7747093023255814, 0.7705965909090909, 0.7708333333333334, 0.7710597826086957, 0.7712765957446809, 0.7721354166666666, 0.7742346938775511, 0.773125, 0.7732843137254902, 0.7734375, 0.7753537735849056, 0.7766203703703703, 0.7778409090909091, 0.7762276785714286, 0.7735745614035088, 0.775323275862069, 0.774364406779661, 0.7734375, 0.774077868852459, 0.7741935483870968, 0.7748015873015873, 0.7734375, 0.7769230769230769]"
2,"[0.4257042860239744, 0.41316377408802507, 0.41164652980864047, 0.40148174203932285]","[0.849375, 0.8525, 0.853125, 0.8559765625]","[0.36910879611968994, 0.3125377297401428, 0.4406304359436035, 0.41249463707208633, 0.4698109567165375, 0.4618583172559738, 0.43261935881205965, 0.4270332045853138, 0.4350418514675564, 0.40342836230993273, 0.4016695686362006, 0.42322782302896184, 0.4363028189310661, 0.42618745884725023, 0.40978245238463085, 0.4053001655265689, 0.41197987076114206, 0.4259229724605878, 0.42582281247565623, 0.4297175548970699, 0.43480557416166576, 0.45336349376223306, 0.45511945887752203, 0.44944473914802074, 0.44269873201847076, 0.43561277423913664, 0.44174990996166513, 0.4494866191276482, 0.4450290650129318, 0.4442711109916369, 0.4367898842019419, 0.43825768074020743, 0.4344986094669862, 0.43624502113636804, 0.4381496995687485, 0.4417465531991588, 0.43961698984777603, 0.4479337981656978, 0.44773735640904844, 0.44513003937900064, 0.44074339365086906, 0.43960312682957875, 0.4443065534497416, 0.4536017460579222, 0.4519286000066333, 0.45291563058676926, 0.4518672998281235, 0.44820216329147416, 0.4468984704236595, 0.4462845668196678, 0.44812534457328274, 0.4485365395935682, 0.44431999157059865, 0.444090587121469, 0.44365807934240864, 0.4459822385438851, 0.4457040465714639, 0.4478953167282302, 0.44461179991899913, 0.4453753223021825, 0.4456839664060561, 0.4454832370242765, 0.4517683278000544, 0.45295851258561015, 0.4461106716440274]","[0.875, 0.875, 0.8333333333333334, 0.84375, 0.8375, 0.84375, 0.8482142857142857, 0.8515625, 0.8506944444444444, 0.865625, 0.8636363636363636, 0.859375, 0.8557692307692307, 0.8549107142857143, 0.8583333333333333, 0.86328125, 0.8621323529411765, 0.8559027777777778, 0.8569078947368421, 0.8578125, 0.8571428571428571, 0.8508522727272727, 0.8464673913043478, 0.8489583333333334, 0.84875, 0.8521634615384616, 0.8506944444444444, 0.8493303571428571, 0.8491379310344828, 0.8458333333333333, 0.8497983870967742, 0.849609375, 0.8513257575757576, 0.8520220588235294, 0.85, 0.8489583333333334, 0.8505067567567568, 0.8470394736842105, 0.8469551282051282, 0.846875, 0.8483231707317073, 0.8497023809523809, 0.8481104651162791, 0.8451704545454546, 0.8465277777777778, 0.8464673913043478, 0.8470744680851063, 0.8483072916666666, 0.8482142857142857, 0.846875, 0.8468137254901961, 0.8473557692307693, 0.8484669811320755, 0.8489583333333334, 0.8488636363636364, 0.8470982142857143, 0.8470394736842105, 0.8469827586206896, 0.8485169491525424, 0.8479166666666667, 0.8478483606557377, 0.8487903225806451, 0.8462301587301587, 0.84521484375, 0.8475961538461538]"
3,"[0.35101708080619576, 0.34497447991743685, 0.3319936471867065, 0.32285724468063565]","[0.87453125, 0.875859375, 0.879375, 0.8825390625]","[0.6043800115585327, 0.4571199417114258, 0.5939622720082601, 0.521052248775959, 0.5754495441913605, 0.535409132639567, 0.5204136456762042, 0.5224613323807716, 0.5331894689136081, 0.5053567588329315, 0.5029763227159326, 0.4941917484005292, 0.48992275962462795, 0.464986797954355, 0.4592432906230291, 0.4544709241017699, 0.46379812938325543, 0.47225139455662835, 0.4795498087217933, 0.4845832221210003, 0.4755017693553652, 0.4820429730144414, 0.47959608422673267, 0.46289776482929784, 0.45103579968214036, 0.4491802336504826, 0.45252943011345687, 0.456717937918646, 0.45958826433995675, 0.4555794256428877, 0.44807780678233794, 0.4493847650010139, 0.441539194773544, 0.4419800553689985, 0.4366034007498196, 0.4347166536996762, 0.43677893542760127, 0.4420081190764904, 0.44050141806021714, 0.43933342639356854, 0.4373158567198893, 0.4403291672822975, 0.44241113042415575, 0.45035875537856057, 0.4520640454358525, 0.4530775917936926, 0.45781752736644543, 0.46064463335399825, 0.4580192695162734, 0.46642755940556524, 0.46832936607739506, 0.4677727550554734, 0.46738393928082483, 0.4626541028696078, 0.45901005444201554, 0.4599743194079825, 0.46782438025662776, 0.4672643168476121, 0.4635664920433093, 0.4618254213283459, 0.46210000688423875, 0.45740088159518855, 0.4575259204185198, 0.457612291094847, 0.45058918345827037]","[0.71875, 0.796875, 0.78125, 0.8125, 0.8, 0.8177083333333334, 0.8214285714285714, 0.8203125, 0.8159722222222222, 0.81875, 0.8238636363636364, 0.828125, 0.8317307692307693, 0.8370535714285714, 0.8375, 0.83984375, 0.8363970588235294, 0.8385416666666666, 0.8322368421052632, 0.83125, 0.8318452380952381, 0.8295454545454546, 0.8274456521739131, 0.8346354166666666, 0.83875, 0.8377403846153846, 0.8368055555555556, 0.8359375, 0.8362068965517241, 0.8364583333333333, 0.8377016129032258, 0.837890625, 0.8399621212121212, 0.8382352941176471, 0.8392857142857143, 0.8394097222222222, 0.839527027027027, 0.837171052631579, 0.8381410256410257, 0.83828125, 0.8391768292682927, 0.8385416666666666, 0.8401162790697675, 0.8380681818181818, 0.8368055555555556, 0.8376358695652174, 0.836436170212766, 0.8346354166666666, 0.8354591836734694, 0.83375, 0.8333333333333334, 0.8341346153846154, 0.8349056603773585, 0.8362268518518519, 0.8375, 0.8370535714285714, 0.8349780701754386, 0.8356681034482759, 0.836864406779661, 0.8364583333333333, 0.8370901639344263, 0.8392137096774194, 0.839781746031746, 0.8388671875, 0.8413461538461539]"
4,"[0.2816480265185237, 0.2864847759157419, 0.2817211792555948, 0.27908513001631946]","[0.89890625, 0.896015625, 0.89734375, 0.898671875]","[0.3549340069293976, 0.2496965229511261, 0.3897413412729899, 0.3572162389755249, 0.4261029720306396, 0.3863419269522031, 0.3600739453520094, 0.35594410076737404, 0.37529150976075065, 0.3465872585773468, 0.34050811420787463, 0.3497326945265134, 0.34868890047073364, 0.334407097526959, 0.3370391368865967, 0.35594646632671356, 0.34238674973740296, 0.3428314220574167, 0.3517644742601796, 0.3536904253065586, 0.3412431137902396, 0.3536669449372725, 0.3476951355519502, 0.3363912481193741, 0.32943122297525407, 0.3337915118497152, 0.33176398636014376, 0.32846455994461266, 0.3201369011196597, 0.3254540627201398, 0.32456896045515615, 0.32178845815360546, 0.31323885522557027, 0.31479003904935193, 0.31533621262226785, 0.31542226227207315, 0.3118039467246146, 0.31853971993060487, 0.320407073562726, 0.3178647548891604, 0.3131175792617042, 0.3108334888127588, 0.3149541352204112, 0.3261791764843193, 0.3274146840804153, 0.3308820334951515, 0.3336712114829966, 0.33262855489738286, 0.3334621658586726, 0.33867645673453806, 0.3402090463422093, 0.3406181397776191, 0.33606252193732083, 0.334067503956181, 0.33466630232605066, 0.3371025912596711, 0.33612197461096865, 0.33587137924443033, 0.3350696284008228, 0.33730226488163073, 0.33580304444080494, 0.3334890770455522, 0.3348838108044768, 0.33724433864699677, 0.33207357875429666]","[0.84375, 0.90625, 0.875, 0.890625, 0.86875, 0.875, 0.8794642857142857, 0.875, 0.875, 0.884375, 0.8892045454545454, 0.8854166666666666, 0.8846153846153846, 0.8883928571428571, 0.8895833333333333, 0.880859375, 0.8823529411764706, 0.8802083333333334, 0.875, 0.875, 0.8794642857142857, 0.875, 0.8777173913043478, 0.8828125, 0.88375, 0.8822115384615384, 0.8842592592592593, 0.8872767857142857, 0.8900862068965517, 0.8895833333333333, 0.8891129032258065, 0.888671875, 0.8920454545454546, 0.890625, 0.8901785714285714, 0.890625, 0.8918918918918919, 0.8898026315789473, 0.8886217948717948, 0.8890625, 0.8910060975609756, 0.8913690476190477, 0.8917151162790697, 0.8884943181818182, 0.8881944444444444, 0.8879076086956522, 0.886968085106383, 0.8880208333333334, 0.8877551020408163, 0.885625, 0.8854166666666666, 0.8858173076923077, 0.8867924528301887, 0.8871527777777778, 0.8875, 0.88671875, 0.8865131578947368, 0.8857758620689655, 0.885593220338983, 0.8859375, 0.8857581967213115, 0.8860887096774194, 0.8854166666666666, 0.88427734375, 0.8860576923076923]"
5,"[0.2590845025330782, 0.25613756915554403, 0.25236302726591625, 0.2555488062277436]","[0.90484375, 0.9078125, 0.9085416666666667, 0.9082421875]","[0.6107006669044495, 0.40844712406396866, 0.535316194097201, 0.44465508684515953, 0.5453796595335006, 0.49601859599351883, 0.46270077356270384, 0.48354031704366207, 0.47824250161647797, 0.45249213874340055, 0.4411446154117584, 0.43562639753023785, 0.44082855261289156, 0.4224014239651816, 0.4166155199209849, 0.42010852694511414, 0.4162754732019761, 0.41759469442897373, 0.4141822896505657, 0.40767581164836886, 0.39921360853172483, 0.4172178879380226, 0.40985019764174585, 0.39940611956020194, 0.3895018297433853, 0.3949535724062186, 0.3899573004908032, 0.39910160484058516, 0.39634106539446734, 0.3939219112197558, 0.39155160659743893, 0.3851420544087887, 0.3834896114739505, 0.3882158477516735, 0.38769149439675465, 0.3806765750050545, 0.37733911662488373, 0.3840860206829874, 0.3836978131379837, 0.3780424162745476, 0.375931582072886, 0.3808714087520327, 0.3828268626401591, 0.389287723059004, 0.3881677250067393, 0.3911333440438561, 0.3949528710639223, 0.3984664771705866, 0.3960597344807216, 0.40328487634658816, 0.4030994971593221, 0.40260519316563237, 0.3995174141425007, 0.40019298041308365, 0.39758077643134376, 0.39745720316256794, 0.39809475394717436, 0.399592033747969, 0.39809483744330326, 0.40079250087340673, 0.40191038856740857, 0.3985233342935962, 0.40152636383261, 0.3987518874928355, 0.39261913746393895]","[0.75, 0.828125, 0.8125, 0.84375, 0.83125, 0.84375, 0.8526785714285714, 0.84375, 0.8368055555555556, 0.846875, 0.8522727272727273, 0.8541666666666666, 0.8557692307692307, 0.8638392857142857, 0.8625, 0.865234375, 0.8676470588235294, 0.8680555555555556, 0.8634868421052632, 0.8640625, 0.8660714285714286, 0.8579545454545454, 0.8586956521739131, 0.8606770833333334, 0.865, 0.8629807692307693, 0.8668981481481481, 0.8683035714285714, 0.8706896551724138, 0.8729166666666667, 0.873991935483871, 0.8740234375, 0.8759469696969697, 0.8740808823529411, 0.875, 0.8776041666666666, 0.8775337837837838, 0.8741776315789473, 0.8733974358974359, 0.87578125, 0.8765243902439024, 0.875, 0.875, 0.8721590909090909, 0.8722222222222222, 0.8702445652173914, 0.8683510638297872, 0.8671875, 0.8679846938775511, 0.865625, 0.8645833333333334, 0.8653846153846154, 0.8667452830188679, 0.8657407407407407, 0.8676136363636363, 0.8677455357142857, 0.8667763157894737, 0.8658405172413793, 0.8665254237288136, 0.865625, 0.8652663934426229, 0.8664314516129032, 0.8650793650793651, 0.8662109375, 0.8682692307692308]"
